"int_n","objective","budget","fund"
8,"delta.deaths.UB",11421052.6315789,0
9,"delta.deaths.UB",11421052.6315789,0
10,"delta.deaths.UB",11421052.6315789,1
11,"delta.deaths.UB",11421052.6315789,1
12,"delta.deaths.UB",11421052.6315789,1
13,"delta.deaths.UB",11421052.6315789,0
14,"delta.deaths.UB",11421052.6315789,1
15,"delta.deaths.UB",11421052.6315789,0
16,"delta.deaths.UB",11421052.6315789,1
17,"delta.deaths.UB",11421052.6315789,0
18,"delta.deaths.UB",11421052.6315789,1
19,"delta.deaths.UB",11421052.6315789,0
20,"delta.deaths.UB",11421052.6315789,0
1,"che.10.UB",11421052.6315789,0
2,"che.10.UB",11421052.6315789,0
3,"che.10.UB",11421052.6315789,0
4,"che.10.UB",11421052.6315789,1
5,"che.10.UB",11421052.6315789,1
6,"che.10.UB",11421052.6315789,0
7,"che.10.UB",11421052.6315789,0
8,"che.10.UB",11421052.6315789,0
9,"che.10.UB",11421052.6315789,0
10,"che.10.UB",11421052.6315789,1
11,"che.10.UB",11421052.6315789,1
12,"che.10.UB",11421052.6315789,1
13,"che.10.UB",11421052.6315789,0
14,"che.10.UB",11421052.6315789,0
15,"che.10.UB",11421052.6315789,0
16,"che.10.UB",11421052.6315789,1
17,"che.10.UB",11421052.6315789,0
18,"che.10.UB",11421052.6315789,1
19,"che.10.UB",11421052.6315789,1
20,"che.10.UB",11421052.6315789,0
1,"delta.deaths.npv",11421052.6315789,0
2,"delta.deaths.npv",11421052.6315789,0
3,"delta.deaths.npv",11421052.6315789,0
4,"delta.deaths.npv",11421052.6315789,0
5,"delta.deaths.npv",11421052.6315789,1
6,"delta.deaths.npv",11421052.6315789,1
7,"delta.deaths.npv",11421052.6315789,0
8,"delta.deaths.npv",11421052.6315789,0
9,"delta.deaths.npv",11421052.6315789,1
10,"delta.deaths.npv",11421052.6315789,1
11,"delta.deaths.npv",11421052.6315789,1
12,"delta.deaths.npv",11421052.6315789,1
13,"delta.deaths.npv",11421052.6315789,0
14,"delta.deaths.npv",11421052.6315789,0
15,"delta.deaths.npv",11421052.6315789,0
16,"delta.deaths.npv",11421052.6315789,1
17,"delta.deaths.npv",11421052.6315789,0
18,"delta.deaths.npv",11421052.6315789,1
19,"delta.deaths.npv",11421052.6315789,0
20,"delta.deaths.npv",11421052.6315789,0
1,"E",11421052.6315789,0
2,"E",11421052.6315789,0
3,"E",11421052.6315789,0
4,"E",11421052.6315789,0
5,"E",11421052.6315789,1
6,"E",11421052.6315789,1
7,"E",11421052.6315789,1
8,"E",11421052.6315789,0
9,"E",11421052.6315789,0
10,"E",11421052.6315789,0
11,"E",11421052.6315789,0
12,"E",11421052.6315789,1
13,"E",11421052.6315789,1
14,"E",11421052.6315789,0
15,"E",11421052.6315789,0
16,"E",11421052.6315789,0
17,"E",11421052.6315789,0
18,"E",11421052.6315789,0
19,"E",11421052.6315789,1
20,"E",11421052.6315789,0
1,"E.LB",11421052.6315789,0
2,"E.LB",11421052.6315789,0
3,"E.LB",11421052.6315789,0
4,"E.LB",11421052.6315789,0
5,"E.LB",11421052.6315789,0
6,"E.LB",11421052.6315789,0
7,"E.LB",11421052.6315789,0
8,"E.LB",11421052.6315789,0
9,"E.LB",11421052.6315789,0
10,"E.LB",11421052.6315789,0
11,"E.LB",11421052.6315789,0
12,"E.LB",11421052.6315789,0
13,"E.LB",11421052.6315789,1
14,"E.LB",11421052.6315789,0
15,"E.LB",11421052.6315789,0
16,"E.LB",11421052.6315789,0
17,"E.LB",11421052.6315789,0
18,"E.LB",11421052.6315789,0
19,"E.LB",11421052.6315789,0
20,"E.LB",11421052.6315789,0
1,"E.UB",11421052.6315789,0
2,"E.UB",11421052.6315789,0
3,"E.UB",11421052.6315789,0
4,"E.UB",11421052.6315789,0
5,"E.UB",11421052.6315789,1
6,"E.UB",11421052.6315789,1
7,"E.UB",11421052.6315789,1
8,"E.UB",11421052.6315789,1
9,"E.UB",11421052.6315789,1
10,"E.UB",11421052.6315789,0
11,"E.UB",11421052.6315789,1
12,"E.UB",11421052.6315789,0
13,"E.UB",11421052.6315789,0
14,"E.UB",11421052.6315789,0
15,"E.UB",11421052.6315789,1
16,"E.UB",11421052.6315789,1
17,"E.UB",11421052.6315789,0
18,"E.UB",11421052.6315789,0
19,"E.UB",11421052.6315789,1
20,"E.UB",11421052.6315789,0
1,"delta.deaths",16631578.9473684,0
2,"delta.deaths",16631578.9473684,0
3,"delta.deaths",16631578.9473684,0
4,"delta.deaths",16631578.9473684,0
5,"delta.deaths",16631578.9473684,1
6,"delta.deaths",16631578.9473684,1
7,"delta.deaths",16631578.9473684,0
8,"delta.deaths",16631578.9473684,0
9,"delta.deaths",16631578.9473684,1
10,"delta.deaths",16631578.9473684,1
11,"delta.deaths",16631578.9473684,1
12,"delta.deaths",16631578.9473684,1
13,"delta.deaths",16631578.9473684,0
14,"delta.deaths",16631578.9473684,1
15,"delta.deaths",16631578.9473684,1
16,"delta.deaths",16631578.9473684,1
17,"delta.deaths",16631578.9473684,0
18,"delta.deaths",16631578.9473684,1
19,"delta.deaths",16631578.9473684,1
20,"delta.deaths",16631578.9473684,0
1,"che.10",16631578.9473684,0
2,"che.10",16631578.9473684,0
3,"che.10",16631578.9473684,0
4,"che.10",16631578.9473684,0
5,"che.10",16631578.9473684,1
6,"che.10",16631578.9473684,1
7,"che.10",16631578.9473684,0
8,"che.10",16631578.9473684,0
9,"che.10",16631578.9473684,0
10,"che.10",16631578.9473684,0
11,"che.10",16631578.9473684,1
12,"che.10",16631578.9473684,0
13,"che.10",16631578.9473684,0
14,"che.10",16631578.9473684,0
15,"che.10",16631578.9473684,0
16,"che.10",16631578.9473684,0
17,"che.10",16631578.9473684,1
18,"che.10",16631578.9473684,1
19,"che.10",16631578.9473684,1
20,"che.10",16631578.9473684,0
1,"che.25",16631578.9473684,0
2,"che.25",16631578.9473684,0
3,"che.25",16631578.9473684,0
4,"che.25",16631578.9473684,0
5,"che.25",16631578.9473684,1
6,"che.25",16631578.9473684,1
7,"che.25",16631578.9473684,0
8,"che.25",16631578.9473684,0
9,"che.25",16631578.9473684,0
10,"che.25",16631578.9473684,0
11,"che.25",16631578.9473684,1
12,"che.25",16631578.9473684,0
13,"che.25",16631578.9473684,0
14,"che.25",16631578.9473684,0
15,"che.25",16631578.9473684,0
16,"che.25",16631578.9473684,0
17,"che.25",16631578.9473684,1
18,"che.25",16631578.9473684,1
19,"che.25",16631578.9473684,1
20,"che.25",16631578.9473684,0
1,"delta.deaths.LB",16631578.9473684,0
2,"delta.deaths.LB",16631578.9473684,0
3,"delta.deaths.LB",16631578.9473684,0
4,"delta.deaths.LB",16631578.9473684,0
5,"delta.deaths.LB",16631578.9473684,1
6,"delta.deaths.LB",16631578.9473684,1
7,"delta.deaths.LB",16631578.9473684,0
8,"delta.deaths.LB",16631578.9473684,0
9,"delta.deaths.LB",16631578.9473684,1
10,"delta.deaths.LB",16631578.9473684,1
11,"delta.deaths.LB",16631578.9473684,1
12,"delta.deaths.LB",16631578.9473684,1
13,"delta.deaths.LB",16631578.9473684,0
14,"delta.deaths.LB",16631578.9473684,1
15,"delta.deaths.LB",16631578.9473684,1
16,"delta.deaths.LB",16631578.9473684,1
17,"delta.deaths.LB",16631578.9473684,0
18,"delta.deaths.LB",16631578.9473684,1
19,"delta.deaths.LB",16631578.9473684,1
20,"delta.deaths.LB",16631578.9473684,0
1,"che.10.LB",16631578.9473684,0
2,"che.10.LB",16631578.9473684,0
3,"che.10.LB",16631578.9473684,0
4,"che.10.LB",16631578.9473684,0
5,"che.10.LB",16631578.9473684,1
6,"che.10.LB",16631578.9473684,1
7,"che.10.LB",16631578.9473684,0
8,"che.10.LB",16631578.9473684,0
9,"che.10.LB",16631578.9473684,0
10,"che.10.LB",16631578.9473684,0
11,"che.10.LB",16631578.9473684,1
12,"che.10.LB",16631578.9473684,0
13,"che.10.LB",16631578.9473684,0
14,"che.10.LB",16631578.9473684,0
15,"che.10.LB",16631578.9473684,0
16,"che.10.LB",16631578.9473684,0
17,"che.10.LB",16631578.9473684,1
18,"che.10.LB",16631578.9473684,1
19,"che.10.LB",16631578.9473684,1
20,"che.10.LB",16631578.9473684,0
